session, pass     , item_id, position, start_sec           , end_sec, n_whisper_words_matched, match_ratio, flag
s01    , C_creak  , F007   ,       19,  59.04              ,   62.72,                       9,      1.0   , ok
s01    , C_creak  , F003   ,       20,  62.72              ,   66.98,                      10,      0.9091, ok
s01    , C_creak  , C031   ,       21,  66.98              ,   70.18,                       7,      1.0   , ok
s01    , C_creak  , F020   ,       22,  70.18              ,   73.76,                      10,      1.0   , ok
s01    , C_creak  , C036   ,       23,  75.0               ,   77.4 ,                       7,      1.0   , ok
s01    , C_creak  , D024   ,       24,  77.4               ,   80.64,                       8,      1.0   , ok
s01    , C_creak  , D010   ,       25,  84.6               ,   89.74,                       9,      1.0   , ok
s01    , C_creak  , D002   ,       26,  89.74              ,   93.8 ,                       9,      1.0   , ok
s01    , C_creak  , D031   ,       27,  93.8               ,   97.62,                      10,      1.0   , ok
s01    , C_creak  , C027   ,       28,  98.7               ,  100.46,                       5,      0.8333, ok
s01    , C_creak  , C010   ,       29, 100.46              ,  103.86,                       7,      1.0   , ok
s01    , C_creak  , F013   ,       30, 103.86              ,  107.46,                       8,      0.8889, ok
s01    , C_creak  , F022   ,       31, 107.46              ,  110.94,                      11,      1.0   , ok
s01    , C_creak  , D007   ,       32, 115.88              ,  119.4 ,                       9,      0.9   , ok
s01    , C_creak  , C015   ,       33, 119.4               ,  121.18,                       5,      1.0   , ok
s01    , C_creak  , F015   ,       34, 121.18              ,  124.26,                       9,      1.0   , ok
s01    , C_creak  , D011   ,       35, 124.26              ,  128.02,                       6,      0.8571, ok
s01    , C_creak  , C030   ,       36, 128.02              ,  130.2 ,                       5,      1.0   , ok
s01    , C_creak  , D020   ,       37, 130.2               ,  133.72,                       9,      1.0   , ok
s01    , C_creak  , C005   ,       38, 133.72              ,  136.72,                       8,      1.0   , ok
s01    , C_creak  , C004   ,       39, 136.72              ,  139.14,                       5,      0.8333, ok
s01    , C_creak  , D025   ,       40, 139.14              ,  142.4 ,                       6,      0.8571, ok
s01    , C_creak  , D013   ,       41, 142.4               ,  145.66,                       8,      1.0   , ok
s01    , C_creak  , C025   ,       42, 145.66              ,  147.54,                       6,      1.0   , ok
s01    , C_creak  , D008   ,       43, 147.54              ,  150.9 ,                       7,      1.0   , ok
s01    , C_creak  , C039   ,       44, 150.9               ,  153.36,                       6,      1.0   , ok
s01    , C_creak  , D023   ,       45, 153.36              ,  156.4 ,                       9,      1.0   , ok
s01    , C_creak  , D001   ,       46, 156.4               ,  159.4 ,                      10,      1.0   , ok
s01    , C_creak  , C024   ,       47, 159.4               ,  162.38,                       5,      0.7143, low_confidence
s01    , C_creak  , D027   ,       48, 162.38              ,  165.82,                       7,      0.875 , ok
s01    , C_creak  , F021   ,       49, 165.82              ,  169.0 ,                      10,      1.0   , ok
s01    , C_creak  , F011   ,       50, 169.8               ,  171.78,                       9,      0.9   , ok
s01    , C_creak  , C009   ,       51, 171.78              ,  173.56,                       5,      1.0   , ok
s01    , C_creak  , C040   ,       52, 173.56              ,  176.12,                       5,      0.8333, ok
s01    , C_creak  , C008   ,       53, 176.12              ,  178.54,                       7,      1.0   , ok
s01    , C_creak  , D018   ,       54, 178.54              ,  181.74,                       8,      1.0   , ok
s01    , C_creak  , D009   ,       55, 181.74              ,  185.34,                       7,      0.875 , ok
s01    , C_creak  , C035   ,       56, 185.34              ,  187.66,                       5,      0.8333, ok
s01    , C_creak  , D019   ,       57, 188.36              ,  191.0 ,                       8,      1.0   , ok
s01    , C_creak  , C021   ,       58, 191.0               ,  193.38,                       6,      1.0   , ok
s01    , C_creak  , C014   ,       59, 193.38              ,  196.08,                       5,      0.8333, ok
s01    , C_creak  , F006   ,       60, 196.08              ,  199.04,                       8,      1.0   , ok
s01    , C_creak  , F010   ,       61, 199.04              ,  202.2 ,                      11,      1.0   , ok
